nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Al-Jihad Universitas Padjadjaran,Masjid,"Jl. Dipati Ukur No.35, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",Buka 24 jam,"4,6",584,"
(022) 2512192",Ada,Tidak Tersedia,-6.8922128,107.6166596,Aksesibilitas Tersedia,[]
Masjid Al-Amanah,Masjid,"Jl. Ruhana No.6, RW.8, Paledang, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",,"4,8",67,,Tidak Ada ,Tidak Tersedia,-6.9240612,107.6140377,Aksesibilitas Tersedia,[]
Masjid Al-Lathiif,Masjid,"Jl. Saninten No.2, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",Buka 24 jam,"4,9",3.868,,Tidak Ada ,Tidak Tersedia,-6.9080632,107.6278676,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Masjid Baitul Ilmi BRIN Bandung,Masjid,"Komplek LIPI, Jl. Sangkuriang, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135",,"4,7",271,,Tidak Ada ,Tidak Tersedia,-6.8820692,107.6107097,Aksesibilitas Tersedia,[]
Menara Masjid Raya Bandung,Bangunan Bersejarah,"3JH4+CMP, Jl. Dalem Kaum, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",10.00 hingga 16.00,"4,5",515,,Ada,Tersedia,-6.9214028,107.6067059,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Masjid Dzarratul Ulum Batan Bandung,Masjid,"4J65+H49, Jl. Tamansari, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",,"4,9",118,,Ada,Tidak Tersedia,-6.8885852,107.6078735,Aksesibilitas Tersedia,[]
Masjid Subulussalam,Masjid,"Gg. Slamet 1 No.Depan, RW.nomer 188, Cicadas, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40281",Buka 24 jam,"4,5",31,"
0838-2058-5095",Ada,Tidak Tersedia,-6.9094788,107.6456403,Aksesibilitas Tersedia,[]
Masjid Al Mukhlisin,Masjid,"Jl. Jakarta No.20 22 Komplek, Kebonwaru, Kec. Batununggal, Kota Bandung, Jawa Barat 40272",Buka 24 jam,"4,8",160,,Ada,Tersedia,-6.9153392,107.6366766,Aksesibilitas Tersedia,[]
Masjid Ar Rahman Haur Kuning Bandung,Masjid,"3JH8+F57, Jl. Haurkuning, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",Buka 24 jam,"5,0",43,,Ada,Tidak Tersedia,-6.9213475,107.6154329,Aksesibilitas Tersedia,[]
Masjid Ar-Rahmah Sukarjin 2,Masjid,"Jl. Sukarajin II No.12, Cikutra, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40124",,"4,5",10,,Tidak Ada ,Tidak Tersedia,-6.9023134,107.6391406,Aksesibilitas Tersedia,[]
Masjid Al Hikmah,Masjid,"Jl. Purnawarman No.7d, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",,"4,7",59,,Tidak Ada ,Tidak Tersedia,-6.909416,107.6093677,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al Ikhlas,Masjid,"Ps. Cikapundung, Jl. ABC No.117, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111",Buka 24 jam,"4,7",18,,Tidak Ada ,Tidak Tersedia,-6.9191833,107.6083943,Aksesibilitas Tersedia,[]
Masjid An - Nuur,Masjid,"3JM6+8JQ, Jl. Lembong, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111",,"4,8",29,,Tidak Ada ,Tidak Tersedia,-6.9166638,107.6116043,Aksesibilitas Tersedia,[]
Masjid Miftahul Iman,Masjid,"Jl. Cikutra Gg. Sukasari I No.36A 04, Neglasari, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40124",,"4,4",9,,Tidak Ada ,Tidak Tersedia,-6.8990312,107.6427974,Aksesibilitas Tersedia,[]
Masjid Al-Hikmah,Masjid,"3JJF+GXV, Jl. Kembang Sapatu, Samoja, Kec. Batununggal, Kota Bandung, Jawa Barat 40262",,"4,8",13,,Tidak Ada ,Tidak Tersedia,-6.9186466,107.6249282,Aksesibilitas Tersedia,[]
Masjid Al Urwatul Wutsqo,Masjid,"Jl. Surareja No.99, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",Buka 24 jam,"4,8",12,"
0813-1287-7555",Ada,Tidak Tersedia,-6.9202119,107.6200317,Aksesibilitas Tersedia,[]
Masjid Salman ITB,Masjid,"Jl. Ganesa No.7, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",Buka 24 jam,"4,9",17.377,,Ada,Tersedia,-6.8937059,107.6111822,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Jami Al - Mubarok,Masjid,"3JRQ+QC2, Jl. Awi Bitung, Cicadas, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40121",,"4,6",30,,Tidak Ada ,Tidak Tersedia,-6.9081209,107.6385076,Aksesibilitas Tersedia,[]
Masjid Al Latif,Masjid,"Jl. Maleer IV No.36a, RT.4/RW.2, Maleer, Kec. Batununggal, Kota Bandung, Jawa Barat 40274",,"4,9",50,,Tidak Ada ,Tidak Tersedia,-6.9276633,107.6395952,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Al Jihad,Masjid,"Jl. Garut No.1A, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271",,"4,6",40,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Al Faatihah,Masjid,"Jl. Gudang Utara No.9, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",,"4,3",9,,Tidak Ada ,Tidak Tersedia,-6.9152902,107.6207855,Aksesibilitas Tersedia,[]
Masjid QAF,Masjid,"3MR3+GJV, Jl. Kalijati Indah, Antapani Kulon, Kec. Antapani, Kota Bandung, Jawa Barat 40291",,"4,8",1.125,,Tidak Ada ,Tidak Tersedia,-6.9086448,107.6540536,Aksesibilitas Tersedia,[]
Masjid Al Mu'min,Masjid,"3JP2+MM9 Bandung railway station, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171",Buka 24 jam,"4,7",94,,Tidak Ada ,Tidak Tersedia,-6.9133275,107.6017315,Aksesibilitas Tersedia,[]
Masjid As Syuhada,Masjid,"Jl. Brigadir Jend. Katamso No.15a, Cihaur Geulis, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40122",Tutup,"4,8",63,,Tidak Ada ,Tidak Tersedia,-6.9054412,107.6313682,Aksesibilitas Tersedia,[]
Masjid Nurul Hidayah,Masjid,"4J2R+JPM, Neglasari, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40124",,"4,9",17,,Tidak Ada ,Tidak Tersedia,-6.8984231,107.6418123,Aksesibilitas Tersedia,[]
Masjid Al- Qona'ah,Masjid,"Jl. SD Muararajeun No.1, RT.001/RW.08, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40122",Buka 24 jam,"4,6",62,,Tidak Ada ,Tidak Tersedia,-6.9017013,107.6305743,Aksesibilitas Tersedia,[]
Masjid Jami Al-Ihsan,Masjid,"3JJ8+GMX, Jl. Kartini, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",04.00 hingga 21.15,"4,2",10,,Tidak Ada ,Tidak Tersedia,-6.9186349,107.6167221,Aksesibilitas Tersedia,[]
Masjid Lautze 2 Bandung,Masjid,"Jl. Tamblong No.27, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111",03.00 hingga 21.00,"4,8",1.019,"
0813-8782-5825",Ada,Tidak Tersedia,-6.9180923,107.6123063,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
MASJID AL-IMTIYAAZ,Masjid,"Surapati Core, Jl. Anggrek Boulevard Jl. Khp Hasan Mustopa No.39-40, Suci, Pasirlayung, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40192",,"4,7",783,,Ada,Tersedia,-6.8993463,107.6526355,Aksesibilitas Tersedia,[]
Masjid Al Azhar,Masjid,"Jl. Bakti No.29, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161",04.00 hingga 21.15,"4,8",321,,Tidak Ada ,Tidak Tersedia,-6.892345,107.5995916,Aksesibilitas Tersedia,[]
Masjid Jami An Nuur,Masjid,"3JQM+CPR, Jl. Cikaso Sel. Gg. Bahagia, Sukamaju, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40121",,"4,7",48,,Tidak Ada ,Tidak Tersedia,-6.9113763,107.6342609,Aksesibilitas Tersedia,[]
MASJID ASY-SYIFA 1944,Masjid,"Gg. Sukamenak, RT.02/RW.08, Cicadas, Padasuka, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40125",03.00 hingga 21.00,"5,0",3,,Ada,Tersedia,-6.9061355,107.6440942,Aksesibilitas Tersedia,[]
Masjid Al-Muttaqin,Masjid,"3JWQ+HHW, Jl. Lemah Neundeut II, Cikutra, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40124",Buka 24 jam,"4,6",5,"
0852-2018-1877",Ada,Tidak Tersedia,-6.903506,107.6389587,Aksesibilitas Tersedia,[]
Masjid Al-Ikhlas,Masjid,"3JRJ+M5J, Jl. Lap. Supratman, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",Tutup,"4,8",18,,Tidak Ada ,Tidak Tersedia,-6.9082781,107.6304057,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al-Mursalin,Masjid,"3JHF+25V, Jl. Karees Kulon No.162 33b, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",Buka 24 jam,"4,5",23,"
0858-7133-7943",Ada,Tidak Tersedia,-6.9224865,107.6229695,Aksesibilitas Tersedia,[]
Masjid Ulil Albab,Masjid,"Jl. Khp Hasan Mustopa No.68, Cikutra, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40124",Tutup,"4,9",12,,Tidak Ada ,Tidak Tersedia,-6.8999296,107.6398772,Aksesibilitas Tersedia,[]
Masjid Raya Al Ihsan Darul Hikam,Masjid,"Jl. Ir. H. Juanda No.283, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135",Buka 24 jam,"4,8",739,,Tidak Ada ,Tersedia,-6.8791778,107.6162265,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Assalam,Masjid,"Jl. Asep Berlian Gg. Bunga X No.93, RT.03/RW.15, Cicadas, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40121",,"4,3",3,,Tidak Ada ,Tidak Tersedia,-6.9055719,107.6376997,Aksesibilitas Tersedia,[]
Masjid PUSDAI Jawa Barat,Masjid,"Jl. Diponegoro No.63, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40122",03.30 hingga 20.00,"4,7",14.472,,Ada,Tersedia,-6.9001204,107.6259654,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Raya Mujahidin Bandung,Masjid,"Jl. Sancang No.6, Burangrang, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",04.30 hingga 21.00,"4,7",1.779,,Ada,Tersedia,-6.93059,107.6193673,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
